date,name
01.01.2018,Neujahr
06.01.2018,Heilige Drei Könige
02.04.2018,Ostermontag
01.05.2018,Staatsfeiertag
10.05.2018,Christi Himmelfahrt
21.05.2018,Pfingstmontag
31.05.2018,Fronleichnam
15.08.2018,Mariä Himmelfahrt
26.10.2018,Nationalfeiertag
01.11.2018,Allerheiligen
08.12.2018,Mariä Empfängnis
25.12.2018,Weihnachten
26.12.2018,Stefanitag
01.01.2019,Neujahr
06.01.2019,Heilige Drei Könige
22.04.2019,Ostermontag
01.05.2019,Staatsfeiertag
30.05.2019,Christi Himmelfahrt
10.06.2019,Pfingstmontag
20.06.2019,Fronleichnam
15.08.2019,Mariä Himmelfahrt
26.10.2019,Nationalfeiertag
01.11.2019,Allerheiligen
08.12.2019,Mariä Empfängnis
25.12.2019,Weihnachten
26.12.2019,Stefanitag
01.01.2020,Neujahr
06.01.2020,Heilige Drei Könige
13.04.2020,Ostermontag
01.05.2020,Staatsfeiertag
21.05.2020,Christi Himmelfahrt
01.06.2020,Pfingstmontag
11.06.2020,Fronleichnam
15.08.2020,Mariä Himmelfahrt
26.10.2020,Nationalfeiertag
01.11.2020,Allerheiligen
08.12.2020,Mariä Empfängnis
25.12.2020,Weihnachten
26.12.2020,Stefanitag
01.01.2021,Neujahr
06.01.2021,Heilige Drei Könige
05.04.2021,Ostermontag
01.05.2021,Staatsfeiertag
13.05.2021,Christi Himmelfahrt
24.05.2021,Pfingstmontag
03.06.2021,Fronleichnam
15.08.2021,Mariä Himmelfahrt
26.10.2021,Nationalfeiertag
01.11.2021,Allerheiligen
08.12.2021,Mariä Empfängnis
25.12.2021,Weihnachten
26.12.2021,Stefanitag
01.01.2022,Neujahr
06.01.2022,Heilige Drei Könige
18.04.2022,Ostermontag
01.05.2022,Staatsfeiertag
26.05.2022,Christi Himmelfahrt
06.06.2022,Pfingstmontag
16.06.2022,Fronleichnam
15.08.2022,Mariä Himmelfahrt
26.10.2022,Nationalfeiertag
01.11.2022,Allerheiligen
08.12.2022,Mariä Empfängnis
25.12.2022,Weihnachten
26.12.2022,Stefanitag
